DATE,US_Corp_Bonds,GL_HY_Bonds
1/1/10,1540.34,701.881
1/4/10,1542.4,705.3042
1/5/10,1549.2,708.5426
1/6/10,1547.8,711.8128
1/7/10,1547,714.5688
1/8/10,1548.39,715.9809
1/11/10,1549.08,720.0871
1/12/10,1555.24,720.6001
1/13/10,1551.75,720.3638
1/14/10,1555.83,719.8903
1/15/10,1559.18,718.8904
1/18/10,1559.18,719.053
1/19/10,1557.39,718.4244
1/20/10,1560.13,717.0855
1/21/10,1563.39,715.793
1/22/10,1563.03,713.545
1/25/10,1561.25,712.3156
1/26/10,1560.99,711.008
1/27/10,1560.28,710.8137
1/28/10,1560.05,710.2826
1/29/10,1563.87,709.5719
2/1/10,1561.4,708.6457
2/2/10,1563.18,709.8827
2/3/10,1560.28,710.7122
2/4/10,1565.27,708.8895
2/5/10,1568.5,703.8178
2/8/10,1565.9,702.3706
2/9/10,1562.97,701.242
2/10/10,1559.25,698.8817
2/11/10,1557.91,697.343
2/12/10,1560.42,696.802
2/15/10,1560.42,696.5419
2/16/10,1562.71,698.116
2/17/10,1558.42,701.0982
2/18/10,1555.6,702.9979
2/19/10,1556.18,704.0373
2/22/10,1557.42,706.8371
2/23/10,1563.63,706.6678
2/24/10,1563.2,707.1707
2/25/10,1565.97,706.3219
2/26/10,1569.71,709.0745
3/1/10,1569.45,709.7374
3/2/10,1570.57,712.9129
3/3/10,1570.82,715.2996
3/4/10,1571.82,715.7237
3/5/10,1568.38,717.4632
3/8/10,1568.24,720.6867
3/9/10,1570.03,721.8981
3/10/10,1569.44,724.1799
3/11/10,1569.88,724.6586
3/12/10,1570.45,726.3977
3/15/10,1571.41,726.0881
3/16/10,1574.65,727.7825
3/17/10,1575.64,729.2142
3/18/10,1574.1,729.4956
3/19/10,1573.32,728.9924
3/22/10,1574.49,729.1365
3/23/10,1574.7,729.8841
3/24/10,1566.69,728.9538
3/25/10,1563.04,729.3382
3/26/10,1566.09,730.8306
3/29/10,1566.43,732.3941
3/30/10,1565.67,732.6643
3/31/10,1567.78,733.4012
4/1/10,1565.63,734.1971
4/2/10,1560.02,734.1254
4/5/10,1557.02,735.2646
4/6/10,1559.21,735.2709
4/7/10,1566.66,736.1173
4/8/10,1565.33,736.2205
4/9/10,1566.37,737.9404
4/12/10,1571.09,741.4133
4/13/10,1573.18,742.6369
4/14/10,1570.79,744.874
4/15/10,1572.35,746.7734
4/16/10,1577.56,747.8595
4/19/10,1574.82,746.8335
4/20/10,1575.05,747.8769
4/21/10,1578.7,748.6599
4/22/10,1576.29,747.9683
4/23/10,1573.88,748.3121
4/26/10,1574.65,749.6753
4/27/10,1581.57,749.6822
4/28/10,1576.56,746.5497
4/29/10,1580.33,747.4115
4/30/10,1584.1,748.3005
5/3/10,1581.13,748.5707
5/4/10,1586.26,745.9723
5/5/10,1589.42,740.6724
5/6/10,1596.77,733.4066
5/7/10,1591.19,722.9429
5/10/10,1587.74,729.5915
5/11/10,1587.24,727.288
5/12/10,1587.01,730.7006
5/13/10,1588.7,731.529
5/14/10,1596.03,728.0564
5/17/10,1594.78,726.0039
5/18/10,1599.44,726.1533
5/19/10,1598.73,721.1368
5/20/10,1603.15,714.4428
5/21/10,1605.01,712.3297
5/24/10,1602.14,712.1165
5/25/10,1603.75,705.3582
5/26/10,1600.68,707.5385
5/27/10,1594.45,710.0211
5/28/10,1597.43,713.0276
5/31/10,1597.43,712.7242
6/1/10,1598.1,712.773
6/2/10,1596.2,711.2861
6/3/10,1595,713.8957
6/4/10,1605.54,711.8921
6/7/10,1605.71,709.4428
6/8/10,1606.53,707.1433
6/9/10,1605.69,707.7069
6/10/10,1597.65,707.7862
6/11/10,1604.42,708.447
6/14/10,1602.25,712.2417
6/15/10,1600.81,714.3342
6/16/10,1602.8,717.0711
6/17/10,1608.83,720.9339
6/18/10,1607.7,722.9918
6/21/10,1608.44,727.6336
6/22/10,1612.67,726.9605
6/23/10,1615.21,726.0253
6/24/10,1613.7,725.1348
6/25/10,1614.97,724.9274
6/28/10,1620.08,726.5279
6/29/10,1622.33,723.1424
6/30/10,1622.48,722.9571
7/1/10,1623.39,723.8619
7/2/10,1621.09,725.2628
7/5/10,1621.09,724.7929
7/6/10,1625.11,727.802
7/7/10,1623.01,728.3531
7/8/10,1621.99,731.3732
7/9/10,1620.78,733.2226
7/12/10,1622.1,734.619
7/13/10,1619.55,737.7285
7/14/10,1624.31,740.3681
7/15/10,1628.46,742.4771
7/16/10,1630.84,743.6893
7/19/10,1629.36,744.183
7/20/10,1631.21,744.115
7/21/10,1634.68,746.0072
7/22/10,1633.25,748.6397
7/23/10,1630.98,749.7324
7/26/10,1632.12,752.7694
7/27/10,1630.61,755.5651
7/28/10,1633.68,756.6802
7/29/10,1634.43,757.7113
7/30/10,1639.79,757.8289
8/2/10,1636.7,760.622
8/3/10,1640.84,763.0226
8/4/10,1638.53,763.1274
8/5/10,1640.38,763.9534
