DATE,EUR_Corp_Bonds,EUR_3M,EUR_6M,EUR_2Y,EUR_10Y
1/1/10,,0.459,0.546,1.332,3.387
1/4/10,173.0335,0.446,0.527,1.347,3.391
1/5/10,173.4426,0.442,0.508,1.286,3.373
1/6/10,173.6294,0.439,0.484,1.294,3.381
1/7/10,174.0965,0.43,0.463,1.264,3.37
1/8/10,174.2886,0.429,0.46,1.244,3.385
1/11/10,174.7814,0.43,0.441,1.225,3.347
1/12/10,175.0666,0.429,0.436,1.21,3.313
1/13/10,175.175,0.409,0.435,1.198,3.303
1/14/10,175.205,0.396,0.427,1.179,3.298
1/15/10,175.4009,0.387,0.412,1.135,3.262
1/18/10,175.505,0.381,0.412,1.141,3.248
1/19/10,175.336,0.38,0.416,1.178,3.277
1/20/10,175.5845,0.387,0.417,1.134,3.223
1/21/10,175.5875,0.379,0.41,1.12,3.207
1/22/10,175.494,0.383,0.421,1.112,3.215
1/25/10,175.5577,0.382,0.42,1.11,3.217
1/26/10,175.603,0.386,0.427,1.119,3.207
1/27/10,175.5374,0.38,0.426,1.131,3.2
1/28/10,175.5679,0.378,0.427,1.12,3.201
1/29/10,175.5943,0.387,0.431,1.119,3.196
2/1/10,175.6577,0.391,0.44,1.122,3.186
2/2/10,175.6709,0.384,0.431,1.127,3.195
2/3/10,175.6244,0.385,0.429,1.137,3.223
2/4/10,175.9141,0.382,0.416,1.064,3.163
2/5/10,175.9952,0.395,0.422,0.989,3.12
2/8/10,175.8009,0.396,0.426,0.996,3.145
2/9/10,175.7355,0.39,0.413,1.036,3.152
2/10/10,175.5869,0.404,0.467,1.042,3.198
2/11/10,175.4859,0.394,0.45,1.048,3.234
2/12/10,175.6921,0.393,0.448,0.983,3.192
2/15/10,175.6412,0.401,0.441,0.973,3.204
2/16/10,175.6283,0.398,0.447,0.972,3.205
2/17/10,175.7534,0.387,0.445,1.061,3.194
2/18/10,175.6336,0.387,0.444,1.076,3.251
2/19/10,175.4325,0.397,0.446,1.086,3.285
2/22/10,175.6849,0.397,0.445,1.071,3.27
2/23/10,176.2224,0.4,0.437,1.008,3.167
2/24/10,176.3843,0.382,0.363,0.985,3.135
2/25/10,176.487,0.388,0.37,0.943,3.11
2/26/10,176.5986,0.386,0.373,0.955,3.101
3/1/10,176.6627,0.386,0.396,0.946,3.108
3/2/10,176.6595,0.384,0.401,0.948,3.116
3/3/10,176.6455,0.402,0.407,0.972,3.138
3/4/10,176.8458,0.397,0.391,0.977,3.123
3/5/10,176.8624,0.391,0.395,1,3.156
3/8/10,177.0031,0.393,0.388,0.999,3.165
3/9/10,177.3365,0.389,0.389,0.984,3.132
3/10/10,177.2504,0.383,0.411,1.01,3.153
3/11/10,177.1726,0.384,0.414,1.039,3.179
3/12/10,177.2156,0.387,0.426,1.049,3.167
