DATE,Bid Price,Ask Price,Open Price,Last Price,Low Price,High Price
1/1/10,1.4323,1.4326,1.4321,1.4324,1.4313,1.4355
1/4/10,1.4412,1.4414,1.4312,1.4413,1.4258,1.4456
1/5/10,1.4363,1.4367,1.4413,1.4365,1.4346,1.4484
1/6/10,1.4407,1.4409,1.4365,1.4408,1.4284,1.4435
1/7/10,1.4306,1.4309,1.4408,1.4308,1.4299,1.4447
1/8/10,1.4406,1.4413,1.4308,1.4409,1.4264,1.4439
1/11/10,1.4511,1.4515,1.4427,1.4513,1.4409,1.4557
1/12/10,1.4484,1.4488,1.4513,1.4486,1.4454,1.4546
1/13/10,1.4509,1.4512,1.4486,1.451,1.4457,1.4579
1/14/10,1.4498,1.4501,1.451,1.4499,1.4447,1.4556
1/15/10,1.4384,1.439,1.45,1.4387,1.4337,1.4512
1/18/10,1.4381,1.4386,1.4358,1.4384,1.4335,1.44
1/19/10,1.4287,1.4289,1.4383,1.4288,1.4252,1.4414
1/20/10,1.4104,1.4107,1.4288,1.4106,1.4081,1.4296
1/21/10,1.4083,1.4085,1.4106,1.4084,1.4029,1.4143
1/22/10,1.4137,1.4141,1.4084,1.4139,1.4066,1.4182
1/25/10,1.415,1.4153,1.4144,1.4151,1.4129,1.4194
1/26/10,1.407,1.4073,1.4151,1.4072,1.4043,1.4179
1/27/10,1.4021,1.4027,1.4072,1.4024,1.3994,1.4097
1/28/10,1.397,1.3973,1.4024,1.3971,1.3938,1.4053
1/29/10,1.3861,1.3864,1.3971,1.3863,1.3862,1.3987
2/1/10,1.393,1.3932,1.3864,1.3931,1.3853,1.3938
2/2/10,1.3963,1.3966,1.3931,1.3964,1.3887,1.3975
2/3/10,1.3892,1.3894,1.3964,1.3893,1.3886,1.4026
2/4/10,1.3721,1.3724,1.3893,1.3723,1.3722,1.3903
2/5/10,1.3676,1.3681,1.3723,1.3678,1.3586,1.3746
2/8/10,1.3647,1.365,1.3716,1.3649,1.3622,1.3718
2/9/10,1.3796,1.3798,1.3649,1.3797,1.3643,1.3839
2/10/10,1.3736,1.3738,1.3797,1.3737,1.3677,1.3813
2/11/10,1.3692,1.3694,1.3737,1.3693,1.3596,1.3801
2/12/10,1.363,1.3634,1.3693,1.3632,1.3532,1.3695
2/15/10,1.3597,1.36,1.3615,1.3598,1.3579,1.3633
2/16/10,1.3768,1.3771,1.3598,1.377,1.3589,1.3779
2/17/10,1.3606,1.3608,1.377,1.3607,1.3586,1.3788
2/18/10,1.3525,1.353,1.3607,1.3527,1.3502,1.3655
2/19/10,1.361,1.3616,1.3527,1.3613,1.3444,1.3618
2/22/10,1.3595,1.3597,1.364,1.3596,1.3574,1.3654
2/23/10,1.3505,1.3509,1.3596,1.3507,1.3497,1.3692
2/24/10,1.3536,1.354,1.3507,1.3538,1.3503,1.3627
2/25/10,1.3547,1.355,1.3538,1.3548,1.3451,1.3571
2/26/10,1.3629,1.3634,1.3548,1.3631,1.3531,1.3683
3/1/10,1.3559,1.3562,1.3646,1.356,1.346,1.3665
3/2/10,1.3614,1.3616,1.356,1.3615,1.3436,1.3622
3/3/10,1.3695,1.3698,1.3615,1.3697,1.3593,1.3736
3/4/10,1.3579,1.3583,1.3697,1.3581,1.3552,1.3712
3/5/10,1.3622,1.3629,1.3581,1.3626,1.3531,1.363
3/8/10,1.3633,1.3635,1.3619,1.3634,1.3606,1.3705
3/9/10,1.36,1.3603,1.3634,1.3602,1.3537,1.3635
3/10/10,1.3656,1.3659,1.3602,1.3657,1.3545,1.368
3/11/10,1.368,1.3682,1.3657,1.3681,1.3621,1.3687
3/12/10,1.3767,1.3771,1.3681,1.3769,1.367,1.3796
3/15/10,1.3676,1.3678,1.3768,1.3677,1.364,1.3785
3/16/10,1.3764,1.3768,1.3677,1.3766,1.3657,1.3783
3/17/10,1.3737,1.3739,1.3766,1.3738,1.3727,1.3818
3/18/10,1.3607,1.3609,1.3738,1.3608,1.3587,1.3741
3/19/10,1.3529,1.3532,1.3608,1.353,1.3503,1.3627
3/22/10,1.3557,1.356,1.3532,1.3558,1.3464,1.3568
3/23/10,1.3497,1.35,1.3557,1.3499,1.3476,1.3569
3/24/10,1.3313,1.3316,1.3499,1.3315,1.3313,1.3507
3/25/10,1.3271,1.3274,1.3314,1.3273,1.3268,1.3387
3/26/10,1.3408,1.3411,1.3273,1.341,1.3268,1.3425
3/29/10,1.3481,1.3484,1.342,1.3483,1.3419,1.3527
3/30/10,1.3412,1.3416,1.3483,1.3414,1.3396,1.3537
3/31/10,1.3508,1.3511,1.3414,1.351,1.3385,1.3549
4/1/10,1.3587,1.359,1.351,1.3589,1.346,1.3591
4/2/10,1.3502,1.3506,1.3589,1.3504,1.3475,1.3591
4/5/10,1.3483,1.3486,1.349,1.3484,1.3461,1.3538
4/6/10,1.3398,1.34,1.3484,1.3399,1.3355,1.3497
4/7/10,1.3342,1.3345,1.3399,1.3344,1.3326,1.3408
4/8/10,1.3359,1.3362,1.3344,1.3361,1.3283,1.3367
4/9/10,1.3498,1.3501,1.3361,1.35,1.3342,1.35
4/12/10,1.359,1.3593,1.3504,1.3592,1.3492,1.3692
4/13/10,1.3612,1.3615,1.3592,1.3614,1.3547,1.3628
4/14/10,1.3652,1.3654,1.3614,1.3653,1.3597,1.3679
4/15/10,1.3571,1.3574,1.3653,1.3573,1.3522,1.3667
4/16/10,1.3501,1.3504,1.3573,1.3503,1.3473,1.3585
4/19/10,1.3488,1.3491,1.3501,1.3489,1.3416,1.3502
4/20/10,1.3434,1.3436,1.3489,1.3435,1.3429,1.3523
4/21/10,1.3388,1.3391,1.3435,1.339,1.3359,1.3448
4/22/10,1.3293,1.3296,1.339,1.3295,1.3261,1.3422
4/23/10,1.3382,1.3386,1.3295,1.3384,1.3202,1.3399
4/26/10,1.3381,1.3384,1.336,1.3383,1.3292,1.3397
4/27/10,1.3174,1.3176,1.3382,1.3175,1.3166,1.3416
4/28/10,1.3219,1.3222,1.3175,1.3221,1.3115,1.3266
4/29/10,1.3233,1.3234,1.3221,1.3233,1.3185,1.3279
4/30/10,1.3292,1.3296,1.3233,1.3294,1.3224,1.3343
5/3/10,1.3194,1.3195,1.3303,1.3195,1.3155,1.3361
5/4/10,1.2987,1.2988,1.3195,1.2987,1.2982,1.3214
5/5/10,1.2813,1.2814,1.2987,1.2814,1.2804,1.2996
5/6/10,1.2618,1.2622,1.2814,1.262,1.2529,1.2856
5/7/10,1.275,1.2759,1.262,1.2755,1.2586,1.2798
5/10/10,1.2786,1.2788,1.2877,1.2787,1.2759,1.3094
5/11/10,1.266,1.2664,1.2787,1.2662,1.2657,1.2803
5/12/10,1.2613,1.2615,1.2662,1.2614,1.2606,1.2739
5/13/10,1.2533,1.2536,1.2614,1.2535,1.2518,1.2684
5/14/10,1.2356,1.236,1.2535,1.2358,1.2354,1.2576
5/17/10,1.2394,1.2396,1.236,1.2395,1.2235,1.2414
5/18/10,1.2201,1.2204,1.2395,1.2202,1.2162,1.2444
5/19/10,1.2414,1.2416,1.2203,1.2415,1.2144,1.2424
5/20/10,1.2486,1.2489,1.2415,1.2487,1.2297,1.2598
5/21/10,1.2567,1.2574,1.2487,1.257,1.2455,1.2672
5/24/10,1.2371,1.2373,1.2544,1.2372,1.2346,1.2587
5/25/10,1.2344,1.2346,1.2372,1.2345,1.2178,1.2372
5/26/10,1.2177,1.2179,1.2345,1.2178,1.2167,1.2389
5/27/10,1.2361,1.2362,1.2178,1.2362,1.2154,1.2395
5/28/10,1.2272,1.2275,1.2362,1.2273,1.2266,1.2453
5/31/10,1.2304,1.2307,1.2267,1.2306,1.2256,1.2335
6/1/10,1.2228,1.2229,1.2306,1.2229,1.2111,1.2353
6/2/10,1.2248,1.225,1.2229,1.2249,1.2175,1.2273
6/3/10,1.2162,1.2163,1.2249,1.2163,1.2153,1.2327
6/4/10,1.1965,1.1968,1.2163,1.1967,1.1956,1.2216
6/7/10,1.1922,1.1924,1.1968,1.1923,1.1877,1.1992
6/8/10,1.1972,1.1974,1.1923,1.1973,1.1902,1.2009
6/9/10,1.1978,1.1981,1.1973,1.1979,1.1924,1.2074
6/10/10,1.2123,1.2126,1.1979,1.2124,1.1957,1.2142
6/11/10,1.2111,1.2114,1.2124,1.2112,1.2045,1.2153
6/14/10,1.222,1.2221,1.2107,1.2221,1.2103,1.2299
6/15/10,1.2332,1.2333,1.2221,1.2332,1.2168,1.235
6/16/10,1.231,1.2311,1.2332,1.2311,1.2255,1.2353
6/17/10,1.2387,1.239,1.2311,1.2389,1.2242,1.2413
6/18/10,1.2386,1.2389,1.2389,1.2388,1.2354,1.2417
6/21/10,1.2311,1.2314,1.2417,1.2312,1.2304,1.2487
6/22/10,1.227,1.2271,1.2312,1.2271,1.2252,1.2354
6/23/10,1.231,1.2311,1.2271,1.2311,1.2209,1.2344
6/24/10,1.2332,1.2335,1.2311,1.2333,1.2262,1.2388
6/25/10,1.2367,1.237,1.2333,1.2369,1.2254,1.2395
6/28/10,1.2276,1.2278,1.2368,1.2277,1.2266,1.2398
6/29/10,1.2187,1.2188,1.2277,1.2188,1.2152,1.2291
6/30/10,1.2237,1.2238,1.2188,1.2238,1.2167,1.2304
7/1/10,1.2526,1.2528,1.2238,1.2527,1.2194,1.254
7/2/10,1.2564,1.2569,1.2527,1.2566,1.2482,1.2612
7/5/10,1.2537,1.2539,1.2536,1.2538,1.2509,1.2565
7/6/10,1.2625,1.2627,1.2538,1.2626,1.248,1.2662
7/7/10,1.2637,1.2638,1.2626,1.2638,1.2553,1.2665
7/8/10,1.2697,1.2699,1.2638,1.2698,1.262,1.2712
7/9/10,1.2639,1.2643,1.2698,1.2641,1.2609,1.2722
7/12/10,1.2595,1.2597,1.2614,1.2596,1.2551,1.2648
7/13/10,1.2723,1.2725,1.2596,1.2724,1.2523,1.2739
7/14/10,1.2742,1.2744,1.2724,1.2743,1.2683,1.2778
7/15/10,1.2949,1.2951,1.2744,1.295,1.2709,1.2954
7/16/10,1.2928,1.2932,1.2951,1.293,1.289,1.3008
7/19/10,1.2941,1.2944,1.2948,1.2942,1.2871,1.2992
7/20/10,1.2879,1.2881,1.2942,1.288,1.2839,1.3029
7/21/10,1.2752,1.2755,1.288,1.2754,1.2733,1.2913
7/22/10,1.2892,1.2893,1.2754,1.2893,1.2737,1.2933
7/23/10,1.2908,1.2911,1.2893,1.2909,1.2794,1.2966
7/26/10,1.2994,1.2995,1.2912,1.2994,1.2857,1.3006
7/27/10,1.2995,1.2997,1.2994,1.2996,1.2952,1.3046
7/28/10,1.2994,1.2995,1.2996,1.2995,1.2967,1.3042
7/29/10,1.3078,1.308,1.2995,1.3079,1.2978,1.3107
7/30/10,1.305,1.3053,1.3079,1.3052,1.2981,1.3094
8/2/10,1.3179,1.318,1.306,1.3179,1.305,1.3195
8/3/10,1.323,1.3231,1.3179,1.3231,1.3147,1.3262
8/4/10,1.316,1.3162,1.3231,1.3161,1.3131,1.324
8/5/10,1.3188,1.3189,1.3161,1.3189,1.3119,1.3235
8/6/10,1.3277,1.3282,1.3189,1.328,1.3158,1.3334
8/9/10,1.322,1.3223,1.3277,1.3222,1.3217,1.3308
8/10/10,1.3176,1.3177,1.3221,1.3177,1.3074,1.3234
8/11/10,1.2862,1.2864,1.3177,1.2863,1.2861,1.3187
8/12/10,1.2828,1.283,1.2863,1.2829,1.2781,1.2933
8/13/10,1.2753,1.2755,1.2829,1.2754,1.275,1.2906
8/16/10,1.2826,1.2828,1.2778,1.2827,1.2734,1.2871
8/17/10,1.2884,1.2886,1.2827,1.2885,1.2804,1.2916
8/18/10,1.2852,1.2854,1.2885,1.2853,1.2824,1.2923
8/19/10,1.2822,1.2825,1.2853,1.2823,1.2772,1.2903
8/20/10,1.2711,1.2712,1.2823,1.2712,1.2664,1.2833
8/23/10,1.2656,1.2658,1.2713,1.2657,1.2647,1.273
8/24/10,1.2626,1.2628,1.2657,1.2627,1.2588,1.2719
8/25/10,1.2658,1.2659,1.2627,1.2659,1.2609,1.2727
8/26/10,1.2715,1.2717,1.2659,1.2716,1.265,1.2764
8/27/10,1.2761,1.2764,1.2716,1.2763,1.2676,1.2779
8/30/10,1.2662,1.2663,1.274,1.2663,1.2659,1.2773
8/31/10,1.2679,1.268,1.2663,1.268,1.2626,1.2743
9/1/10,1.2808,1.2809,1.268,1.2809,1.2663,1.2856
9/2/10,1.2825,1.2826,1.2809,1.2826,1.2777,1.2849
9/3/10,1.2895,1.2897,1.2826,1.2896,1.2809,1.2898
9/6/10,1.2873,1.2878,1.289,1.2876,1.2867,1.2919
9/7/10,1.2681,1.2683,1.2876,1.2682,1.2678,1.2877
9/8/10,1.2719,1.2721,1.2682,1.272,1.2659,1.2764
9/9/10,1.2695,1.2697,1.272,1.2696,1.2665,1.2766
9/10/10,1.2678,1.268,1.2696,1.2679,1.2644,1.2747
9/13/10,1.2882,1.2883,1.268,1.2883,1.2673,1.2893
9/14/10,1.2997,1.2999,1.2883,1.2998,1.283,1.3033
9/15/10,1.301,1.3012,1.2998,1.3011,1.2956,1.3037
9/16/10,1.3076,1.3079,1.3011,1.3078,1.2976,1.3117
9/17/10,1.3048,1.3051,1.3078,1.305,1.302,1.3159
9/20/10,1.306,1.3062,1.3052,1.3061,1.3029,1.3121
9/21/10,1.3263,1.3266,1.3061,1.3264,1.3058,1.3286
9/22/10,1.3405,1.3406,1.3264,1.3406,1.3248,1.344
9/23/10,1.3314,1.3315,1.3406,1.3314,1.3304,1.3414
9/24/10,1.349,1.3494,1.3314,1.3492,1.3287,1.3495
9/27/10,1.3454,1.3455,1.3481,1.3455,1.3426,1.3507
9/28/10,1.3584,1.3586,1.3455,1.3585,1.3381,1.3596
9/29/10,1.3626,1.3628,1.3585,1.3627,1.3567,1.3647
9/30/10,1.3633,1.3636,1.3627,1.3634,1.356,1.3683
10/1/10,1.379,1.3793,1.3634,1.3791,1.3619,1.3792
10/4/10,1.3685,1.3686,1.3799,1.3685,1.3667,1.3807
10/5/10,1.3838,1.384,1.3685,1.3839,1.3637,1.3859
10/6/10,1.3929,1.3931,1.3839,1.393,1.3799,1.3948
10/7/10,1.3925,1.3927,1.393,1.3926,1.3857,1.4029
10/8/10,1.3937,1.3941,1.3926,1.3939,1.3834,1.3984
10/11/10,1.3875,1.3877,1.3925,1.3876,1.3867,1.4012
10/12/10,1.3924,1.3925,1.3876,1.3925,1.3775,1.3935
10/13/10,1.396,1.3963,1.3925,1.3961,1.3912,1.4001
10/14/10,1.4083,1.4085,1.3961,1.4084,1.3955,1.4122
10/15/10,1.3975,1.3979,1.4084,1.3977,1.3937,1.4159
10/18/10,1.3933,1.3935,1.3992,1.3934,1.3831,1.4006
